********************************************************************************
LOGGING TIME: 20171101_204041
CLIENT IP: 10.102.35.184
USERNAME: sandeep2103
OS: Windows 10
**********************************Emotional database********************************************************************************
MM, 29, 23, 1507533521351
MM, 27, 23, 1096
MM, 22, 21, 12
MM, 14, 17, 13
MM, 770, 616, 11
MM, 755, 596, 13
MM, 373, 66, 38
MM, 249, 45, 36
MM, 223, 17, 13
MM, 452, 271, 13
MM, 366, 169, 210
MM, 364, 162, 12
MM, 361, 155, 13
MM, 358, 148, 11
MM, 352, 139, 13
MM, 341, 127, 13
MM, 330, 117, 12
MM, 314, 95, 37
MM, 312, 91, 12
MM, 312, 90, 13
MM, 312, 89, 11
MM, 312, 92, 272
MM, 321, 118, 456
MM, 326, 131, 12
MM, 330, 141, 13
MM, 335, 158, 12
MM, 360, 254, 433
MM, 363, 274, 12
MM, 113, 0, 12
MM, 113, 6, 12
MM, 113, 9, 13
MM, 113, 10, 24
MM, 114, 10, 38
MC, 1, 148
MM, 112, 10, 135
MM, 110, 9, 13
MM, 102, 6, 12
MM, 85, 1, 13
MM, 316, 279, 13
MM, 262, 270, 11
MM, 231, 266, 13
MM, 213, 265, 12
MM, 197, 265, 13
MM, 177, 263, 11
MM, 168, 263, 13
MM, 161, 263, 12
MM, 156, 263, 13
MM, 155, 263, 11
MM, 148, 266, 13
MM, 147, 267, 12
MM, 145, 268, 13
MM, 145, 269, 11
MM, 146, 269, 52
MM, 150, 269, 11
MM, 158, 277, 221
MM, 181, 291, 13
MM, 226, 342, 12
MM, 298, 393, 13
MM, 98, 29, 12
MM, 157, 78, 12
MM, 438, 515, 13
MM, 450, 523, 12
MM, 453, 527, 12
MM, 455, 529, 13
MM, 453, 530, 37
MM, 450, 530, 12
MM, 26, 7, 13
MM, 1, 6, 25
MM, 33, 6, 11
MM, 29, 6, 14
MM, 29, 10, 98
MM, 30, 30, 12
MM, 32, 5, 13
MM, 35, 20, 12
MM, 36, 27, 12
MM, 36, 29, 12
MM, 408, 591, 12
MM, 408, 592, 13
MM, 408, 591, 111
MM, 36, 27, 12
MM, 409, 581, 13
MM, 411, 573, 12
MM, 414, 567, 13
MM, 2, 4, 25
MM, 4, 3, 11
MM, 8, 5, 198
MM, 9, 6, 13
MM, 11, 9, 61
MM, 10, 12, 198
MM, 8, 14, 12
MM, 4, 18, 12
MM, 1, 23, 13
MM, 412, 593, 11
MM, 27, 7, 13
MM, 23, 19, 25
MM, 21, 21, 12
MM, 20, 21, 12
MM, 20, 22, 12
MC, 1, 186
MM, 25, 22, 98
MM, 416, 619, 14
MM, 8, 19, 11
MM, 24, 16, 13
MM, 8, 12, 11
MM, 3, 0, 38
MM, 577, 593, 24
MM, 595, 593, 26
MM, 605, 592, 12
MM, 611, 592, 11
MM, 614, 592, 13
MM, 616, 592, 12
MM, 621, 591, 87
MM, 622, 591, 16
MM, 624, 591, 9
MM, 625, 591, 13
MM, 626, 591, 12
MM, 627, 591, 12
MM, 628, 591, 13
MM, 628, 592, 86
MM, 628, 593, 148
MP, 1, 86
MR, 1, 86
MC, 1, 0
MM, 629, 595, 173
MM, 11, 0, 12
MM, 11, 2, 12
MM, 11, 3, 297
MM, 11, 4, 15
MM, 11, 5, 10
MM, 11, 6, 12
MM, 11, 7, 50
MC, 1, 86
MM, 10, 6, 62
MM, 10, 5, 13
MM, 10, 4, 24
MM, 10, 3, 11
MM, 10, 1, 39
MM, 628, 596, 23
MM, 628, 595, 14
MM, 628, 593, 12
MM, 628, 591, 12
MM, 17, 29, 12
MM, 16, 26, 12
MM, 16, 25, 12
MM, 16, 24, 25
MC, 1, 137
MM, 15, 24, 48
MM, 15, 25, 37
MM, 15, 27, 25
MM, 15, 28, 13
MM, 625, 591, 11
MM, 623, 595, 13
MM, 4, 3, 13
MM, 1, 14, 24
MM, 617, 613, 12
MM, 615, 617, 26
MM, 613, 617, 11
MM, 612, 618, 13
MM, 612, 619, 12
MM, 30, 22, 13
MM, 29, 23, 61
MM, 28, 25, 25
MM, 26, 28, 12
MM, 605, 633, 13
MM, 32, 6, 13
MM, 30, 10, 12
MM, 30, 11, 12
MM, 30, 12, 13
MM, 29, 12, 12
MC, 1, 123
MM, 29, 11, 74
MM, 29, 9, 13
MM, 30, 6, 12
MM, 35, 1, 12
MM, 2, 30, 12
MM, 18, 14, 14
MM, 23, 9, 72
MM, 24, 8, 25
MM, 23, 8, 74
MM, 20, 8, 197
MM, 19, 8, 25
MM, 16, 9, 25
MM, 7, 12, 12
MM, 642, 579, 13
MM, 5, 27, 12
MM, 580, 597, 13
MM, 0, 10, 25
MM, 0, 14, 13
MM, 12, 16, 24
MM, 22, 16, 25
MM, 16, 16, 25
MM, 15, 16, 11
MM, 15, 15, 13
MM, 15, 14, 62
MM, 16, 14, 135
MM, 17, 13, 12
MM, 22, 13, 13
MM, 31, 13, 12
MM, 379, 610, 12
MM, 5, 13, 12
MM, 9, 13, 13
MM, 10, 14, 12
MM, 12, 14, 13
MM, 13, 15, 12
MM, 12, 15, 592
MC, 1, 408
MM, 13, 15, 395
MM, 14, 16, 24
MM, 16, 19, 13
MM, 19, 21, 12
MM, 24, 23, 12
MM, 34, 28, 12
MM, 422, 629, 13
MM, 19, 1, 12
MM, 24, 6, 13
MM, 27, 12, 11
MM, 444, 653, 25
MM, 448, 656, 13
MM, 4, 26, 12
MM, 13, 29, 12
MM, 468, 667, 13
MM, 72, 0, 25
MM, 73, 1, 11
MM, 73, 2, 13
MC, 1, 247
MM, 73, 3, 74
MM, 73, 4, 12
MM, 73, 7, 12
MM, 74, 9, 12
MM, 74, 13, 12
MM, 75, 16, 17
MM, 76, 18, 8
MM, 77, 19, 13
MM, 77, 20, 13
MM, 78, 20, 36
MM, 79, 20, 38
MM, 12, 30, 49
MM, 17, 21, 12
MM, 27, 2, 49
MM, 27, 1, 13
MM, 515, 633, 12
MM, 516, 632, 14
MM, 516, 631, 11
MM, 516, 628, 13
MM, 17, 28, 11
MM, 13, 21, 64
MM, 14, 21, 110
MM, 16, 20, 13
MM, 19, 20, 11
MM, 24, 20, 13
