********************************************************************************
LOGGING TIME: 20171031_213058
CLIENT IP: 10.145.130.117
USERNAME: hp pc
OS: Windows 10
**********************************Emotional database********************************************************************************
MM, 27, 28, 1507533521447
MM, 23, 25, 920
MM, 5, 12, 10
MM, 756, 605, 10
MM, 13, 0, 19
MM, 657, 525, 21
MM, 638, 510, 10
MM, 362, 75, 20
MM, 353, 67, 11
MM, 347, 62, 10
MM, 341, 57, 9
MM, 335, 52, 11
MM, 330, 48, 10
MM, 327, 44, 10
MM, 319, 38, 20
MM, 315, 34, 10
MM, 312, 32, 10
MM, 307, 26, 11
MM, 302, 20, 9
MM, 541, 414, 21
MM, 533, 403, 9
MM, 254, 74, 40
MM, 240, 56, 20
MM, 235, 48, 11
MM, 227, 42, 10
MM, 214, 32, 20
MM, 204, 24, 10
MM, 199, 21, 10
MM, 199, 19, 302
MM, 198, 16, 9
MM, 438, 283, 21
MM, 430, 272, 10
MM, 414, 249, 10
MM, 361, 167, 50
MM, 353, 156, 10
MM, 343, 141, 10
MM, 337, 130, 10
MM, 313, 93, 41
MM, 306, 81, 21
MM, 303, 76, 9
MM, 300, 73, 10
MM, 298, 66, 20
MM, 297, 65, 11
MM, 296, 61, 19
MM, 296, 60, 11
MM, 296, 58, 10
MM, 295, 57, 20
MM, 295, 56, 10
MM, 295, 54, 20
MM, 294, 53, 20
MM, 294, 52, 10
MM, 294, 49, 20
MM, 294, 48, 20
MM, 294, 46, 10
MM, 294, 45, 11
MM, 294, 44, 29
MM, 294, 43, 111
MM, 294, 44, 432
MM, 294, 45, 20
MM, 294, 46, 10
MM, 294, 48, 21
MM, 294, 49, 10
MM, 294, 51, 11
MM, 294, 53, 9
MM, 294, 56, 20
MM, 294, 57, 10
MM, 294, 59, 10
MM, 294, 61, 21
MM, 293, 64, 10
MM, 292, 67, 9
MM, 291, 71, 21
MM, 290, 73, 10
MM, 289, 76, 10
MM, 289, 78, 10
MM, 288, 80, 20
MM, 287, 83, 20
MM, 287, 84, 10
MM, 287, 85, 10
MM, 286, 86, 20
MM, 286, 87, 10
MM, 286, 88, 21
MM, 285, 88, 10
MM, 285, 89, 10
MM, 285, 90, 40
MM, 285, 91, 30
MM, 285, 92, 40
MM, 284, 93, 40
MM, 284, 94, 21
MM, 284, 95, 10
MM, 289, 120, 2363
MM, 292, 130, 10
MM, 298, 153, 20
MM, 303, 171, 20
MM, 318, 251, 101
MM, 318, 257, 10
MM, 319, 270, 20
MM, 319, 279, 20
MM, 69, 3, 20
MM, 69, 7, 10
MM, 69, 14, 21
MM, 69, 17, 10
MM, 69, 21, 20
MM, 69, 22, 10
MM, 69, 24, 20
MM, 69, 25, 21
MM, 69, 26, 19
MM, 69, 27, 10
MM, 69, 29, 20
MM, 69, 30, 10
MM, 69, 31, 21
MM, 69, 32, 10
MM, 69, 33, 19
MM, 69, 34, 21
MC, 1, 613
MM, 71, 34, 103693
MM, 78, 34, 20
MM, 84, 36, 10
MM, 97, 44, 20
MM, 114, 59, 20
MM, 120, 68, 11
MM, 385, 372, 20
MM, 396, 390, 20
MM, 402, 404, 10
MM, 158, 7, 20
MM, 161, 19, 20
MM, 164, 30, 20
MM, 165, 34, 10
MM, 165, 45, 20
MM, 165, 51, 10
MM, 165, 58, 21
MM, 165, 64, 19
MM, 165, 69, 21
MM, 165, 71, 10
MM, 163, 74, 20
MM, 160, 78, 20
MM, 159, 79, 10
MM, 154, 81, 20
MM, 148, 82, 20
MM, 142, 83, 20
