**********************************
LOGGING TIME: 20170905_203031
CLIENT IP: 10.145.230.188
USERNAME: sandeep2103
OS: Windows 10
*********************Neutral database**********************************
MM, 163, 41, 1503238554516
MM, 155, 11, 19
MM, 153, 1, 3
MM, 113, 25, 378
MM, 111, 21, 0
MM, 115, 27, 138
MM, 116, 24, 0
MM, 119, 21, 16
MM, 120, 18, 0
MM, 120, 17, 15
MM, 121, 16, 16
MM, 122, 16, 0
MM, 122, 15, 16
MC, 1, 222
MM, 127, 21, 10509
MC, 1, 19359
MM, 165, 0, 14049
MM, 165, 12, 14
MM, 165, 13, 8
MC, 1, 360
MM, 164, 13, 569
MM, 163, 16, 8
MM, 157, 26, 16
MM, 155, 31, 8
MM, 152, 38, 16
MM, 151, 40, 8
MM, 151, 41, 8
MM, 150, 46, 16
MM, 149, 47, 8
MM, 149, 50, 8
MM, 148, 51, 16
MM, 146, 56, 8
MM, 144, 58, 7
MM, 144, 61, 16
MM, 142, 62, 17
MM, 142, 63, 7
MM, 141, 63, 16
MM, 39, 7, 33
MM, 35, 20, 8
MM, 31, 4, 33
MM, 25, 13, 24
MM, 24, 13, 31
MM, 23, 13, 8
MM, 22, 12, 8
MM, 21, 10, 16
MM, 21, 9, 16
MM, 20, 8, 8
MM, 19, 5, 8
MC, 1, 296
MM, 5, 0, 96
MM, 21, 15, 25
MM, 17, 17, 26
MC, 1, 245
MM, 18, 17, 48
MM, 23, 17, 7
MM, 32, 17, 8
MM, 0, 15, 16
MM, 15, 11, 49
MM, 37, 10, 25
MM, 42, 8, 15
MM, 42, 7, 8
MM, 43, 5, 16
MM, 43, 4, 8
MM, 43, 3, 8
MC, 1, 375
MC, 1, 329
MM, 44, 3, 112
MP, 1, 200
MR, 1, 24
MM, 2, 10, 24
MM, 2, 11, 73
MM, 2, 12, 7
MM, 2, 13, 8
MM, 1, 16, 16
MM, 0, 16, 8
MM, 0, 18, 16
MM, 1, 18, 40
MM, 2, 18, 32
MC, 1, 104
MM, 3, 18, 24
MM, 4, 18, 8
MM, 7, 18, 16
MM, 9, 18, 8
MM, 17, 18, 16
MM, 18, 18, 8
MM, 20, 18, 8
MM, 20, 17, 32
MM, 20, 18, 152
MM, 18, 20, 15
MM, 16, 23, 8
MM, 14, 27, 8
MM, 7, 5, 24
MM, 43, 29, 120
MM, 130, 1, 34
MM, 130, 11, 23
MM, 130, 14, 16
MM, 130, 21, 16
MM, 130, 23, 8
MM, 130, 24, 8
MC, 1, 167
MM, 130, 22, 26
MM, 132, 17, 14
MM, 136, 8, 22
MM, 3, 30, 11
MM, 2, 31, 32
MM, 5, 0, 265
MM, 10, 18, 32
MM, 11, 19, 8
MM, 12, 19, 23
MM, 13, 19, 8
MM, 13, 18, 8
MC, 1, 152
MM, 30, 31, 96
MM, 40, 6, 223
MM, 31, 9, 18
MM, 28, 10, 15
MM, 23, 10, 8
MM, 21, 10, 16
MM, 15, 10, 48
MM, 14, 10, 56
MM, 13, 10, 8
MM, 12, 10, 16
MM, 10, 10, 16
MM, 8, 10, 8
MM, 7, 10, 8
MM, 6, 9, 16
MM, 5, 9, 15
MM, 4, 9, 16
MM, 3, 9, 24
MM, 2, 9, 8
MM, 1, 9, 16
MM, 0, 9, 8
MM, 43, 9, 40
MM, 40, 9, 17
MM, 39, 9, 7
MM, 38, 9, 88
MC, 1, 105
MM, 36, 9, 17
MM, 35, 10, 23
MM, 35, 11, 16
MM, 35, 12, 16
MM, 36, 14, 8
MM, 20, 3, 47
MM, 6, 18, 34
MM, 28, 21, 39
MM, 40, 27, 16
MM, 43, 30, 16
MM, 91, 0, 40
MM, 92, 1, 17
MM, 93, 2, 15
MM, 93, 3, 8
MM, 94, 4, 24
MC, 1, 184
MM, 94, 3, 42
MM, 94, 2, 5
MM, 7, 31, 32
MM, 11, 11, 25
MM, 12, 1, 15
MC, 1, 323
MM, 38, 1, 97
MM, 44, 8, 21
MM, 46, 11, 16
MM, 2, 18, 35
MM, 8, 22, 21
MM, 9, 23, 16
MM, 10, 23, 48
MC, 1, 145
MM, 5, 22, 32
MM, 0, 20, 14
MM, 45, 18, 25
MM, 8, 9, 24
MM, 33, 3, 15
MC, 1, 312
MM, 5, 16, 81
MM, 30, 11, 26
MM, 91, 10, 37
MM, 92, 10, 89
MM, 93, 10, 64
MC, 1, 120
MM, 94, 10, 48
MM, 96, 10, 8
MM, 155, 1, 80
MM, 25, 21, 16
MM, 27, 28, 33
MM, 42, 10, 32
MM, 42, 8, 23
MM, 42, 7, 32
MM, 42, 6, 8
MM, 42, 5, 8
MM, 42, 4, 16
MM, 43, 1, 24
MM, 18, 31, 40
MM, 20, 26, 26
MM, 21, 19, 14
MC, 1, 184
MM, 18, 21, 32
MM, 12, 27, 16
MM, 19, 6, 25
MM, 21, 11, 32
MM, 1, 23, 23
MM, 0, 23, 112
MP, 1, 120
MR, 1, 48
MM, 37, 22, 10
MM, 31, 22, 13
MM, 25, 21, 8
MM, 25, 20, 161
MC, 1, 432
MM, 26, 20, 57
MM, 27, 20, 14
MM, 28, 20, 8
MM, 11, 7, 65
MM, 22, 1, 15
MM, 0, 30, 48
MM, 28, 27, 58
MM, 36, 26, 15
MM, 39, 25, 7
MM, 0, 18, 161
MM, 1, 17, 8
MM, 2, 17, 120
MM, 4, 17, 11
MM, 6, 15, 13
MM, 8, 15, 24
MC, 1, 113
MM, 33, 7, 63
MM, 35, 1, 24
MM, 1, 18, 312
MM, 3, 17, 16
MM, 4, 17, 16
MM, 5, 16, 16
MC, 1, 88
MM, 6, 16, 64
MM, 7, 16, 8
MM, 8, 16, 15
MM, 9, 22, 17
MM, 10, 30, 15
MM, 125, 5, 57
MM, 116, 21, 24
MM, 115, 22, 7
MM, 115, 21, 88
MM, 115, 20, 17
MM, 116, 19, 10
MM, 116, 16, 14
MM, 116, 14, 8
MM, 116, 11, 16
MM, 116, 10, 23
MM, 116, 9, 16
MM, 116, 8, 32
MM, 115, 8, 33
MC, 1, 160
MM, 115, 7, 64
MM, 115, 6, 8
MM, 115, 2, 16
MM, 18, 20, 40
MM, 15, 6, 27
MM, 13, 30, 29
MM, 12, 22, 32
MM, 11, 19, 17
MM, 11, 18, 15
MM, 20, 31, 144
MM, 41, 30, 58
MM, 21, 30, 40
