**********************************
LOGGING TIME: 20171101_204319
CLIENT IP: 10.102.35.184
USERNAME: sandeep2103
OS: Windows 10
*********************Neutral database**********************************
MM, 143, 58, 1507533521575
MM, 120, 5, 13
MP, 1, 9139
MR, 1, 87
MC, 1, 1
MC, 1, 1332
MC, 1, 8893
MM, 137, 3, 14919
MM, 138, 5, 12
MM, 138, 7, 12
MM, 138, 8, 11
MM, 131, 17, 398
MM, 122, 27, 10
MM, 108, 36, 12
MM, 86, 46, 14
MM, 61, 60, 11
MM, 39, 6, 14
MM, 17, 15, 333
MM, 41, 22, 296
MM, 36, 15, 12
MM, 35, 13, 13
MM, 33, 12, 11
MM, 33, 11, 13
MM, 32, 11, 12
MM, 32, 10, 13
MC, 1, 222
MM, 33, 10, 62
MM, 38, 9, 25
MM, 3, 7, 12
MM, 42, 3, 13
MC, 1, 913
MM, 33, 13, 272
MM, 27, 18, 13
MM, 15, 3, 147
MM, 12, 5, 13
MM, 10, 5, 12
MM, 8, 7, 12
MM, 7, 8, 25
MM, 6, 9, 111
MM, 5, 10, 13
MM, 5, 11, 25
MM, 5, 14, 247
MM, 3, 17, 12
MM, 1, 21, 11
MM, 194, 24, 99
MM, 187, 27, 14
MM, 183, 27, 11
MM, 182, 28, 13
MM, 180, 28, 12
MC, 1, 1013
MM, 179, 28, 248
MM, 181, 21, 48
MM, 190, 9, 12
MM, 21, 28, 26
MM, 32, 14, 12
MM, 4, 27, 11
MM, 4, 17, 77
MM, 5, 17, 10
MM, 5, 16, 38
MM, 4, 16, 61
MM, 2, 16, 25
MM, 1, 16, 12
MM, 32, 16, 25
MM, 25, 16, 14
MM, 22, 16, 11
MM, 19, 16, 12
MM, 17, 16, 13
MM, 16, 16, 12
MM, 15, 16, 12
MC, 1, 185
MM, 14, 16, 75
MM, 10, 16, 25
MM, 1, 19, 11
MM, 35, 21, 13
MM, 2, 27, 25
MM, 32, 7, 25
MM, 3, 16, 12
MM, 35, 16, 61
MM, 21, 19, 25
MM, 20, 19, 12
MM, 19, 19, 15
MM, 20, 18, 85
